group,split,cluster,slot,value
LOAD_WEEKDAY,train,0,0,0.09625046399052187
LOAD_WEEKDAY,train,0,1,0.0696660316988154
LOAD_WEEKDAY,train,0,2,0.05353846799228116
LOAD_WEEKDAY,train,0,3,0.043895648531628854
LOAD_WEEKDAY,train,0,4,0.03369667604817361
LOAD_WEEKDAY,train,0,5,0.0359825444223254
LOAD_WEEKDAY,train,0,6,0.03556211259969436
LOAD_WEEKDAY,train,0,7,0.02980559114934898
LOAD_WEEKDAY,train,0,8,0.0290335713032667
LOAD_WEEKDAY,train,0,9,0.030227631843224554
LOAD_WEEKDAY,train,0,10,0.03088246230235906
LOAD_WEEKDAY,train,0,11,0.028306043699008666
LOAD_WEEKDAY,train,0,12,0.032548458407381096
LOAD_WEEKDAY,train,0,13,0.048652822587821276
LOAD_WEEKDAY,train,0,14,0.1864498241920844
LOAD_WEEKDAY,train,0,15,0.20670054750881584
LOAD_WEEKDAY,train,0,16,0.2086259492737595
LOAD_WEEKDAY,train,0,17,0.18124272234044445
LOAD_WEEKDAY,train,0,18,0.16947794074650346
LOAD_WEEKDAY,train,0,19,0.13982354376892508
LOAD_WEEKDAY,train,0,20,0.14371248350609028
LOAD_WEEKDAY,train,0,21,0.13205845581411907
LOAD_WEEKDAY,train,0,22,0.11502507773430251
LOAD_WEEKDAY,train,0,23,0.10997038829438774
LOAD_WEEKDAY,train,0,24,0.10106952993310912
LOAD_WEEKDAY,train,0,25,0.08909690600950348
LOAD_WEEKDAY,train,0,26,0.07828870761478356
LOAD_WEEKDAY,train,0,27,0.07376122475700873
LOAD_WEEKDAY,train,0,28,0.06673605867382608
LOAD_WEEKDAY,train,0,29,0.06392112987412508
LOAD_WEEKDAY,train,0,30,0.05274420202528682
LOAD_WEEKDAY,train,0,31,0.056290392599541814
LOAD_WEEKDAY,train,0,32,0.058076517757489274
LOAD_WEEKDAY,train,0,33,0.061254137778489606
LOAD_WEEKDAY,train,0,34,0.06306274740864468
LOAD_WEEKDAY,train,0,35,0.07250956265397492
LOAD_WEEKDAY,train,0,36,0.09270339946151672
LOAD_WEEKDAY,train,0,37,0.11809877659047044
LOAD_WEEKDAY,train,0,38,0.14688485979858998
LOAD_WEEKDAY,train,0,39,0.19988703737602553
LOAD_WEEKDAY,train,0,40,0.2036718175970631
LOAD_WEEKDAY,train,0,41,0.21793841383886678
LOAD_WEEKDAY,train,0,42,0.2340045623615973
LOAD_WEEKDAY,train,0,43,0.23433857197700642
LOAD_WEEKDAY,train,0,44,0.22081110310250765
LOAD_WEEKDAY,train,0,45,0.18284062942538903
LOAD_WEEKDAY,train,0,46,0.12969019734216064
LOAD_WEEKDAY,train,0,47,0.09341495752897713
LOAD_WEEKDAY,train,1,0,0.06403304674278813
LOAD_WEEKDAY,train,1,1,0.05452133751701385
LOAD_WEEKDAY,train,1,2,0.04136277876316659
LOAD_WEEKDAY,train,1,3,0.03714126586827932
LOAD_WEEKDAY,train,1,4,0.03213114458864034
LOAD_WEEKDAY,train,1,5,0.028834265739846435
LOAD_WEEKDAY,train,1,6,0.02661904107864146
LOAD_WEEKDAY,train,1,7,0.02819515129909984
LOAD_WEEKDAY,train,1,8,0.022655319167615214
LOAD_WEEKDAY,train,1,9,0.0258320134782399
LOAD_WEEKDAY,train,1,10,0.026444956786081518
LOAD_WEEKDAY,train,1,11,0.030119999187044163
LOAD_WEEKDAY,train,1,12,0.03373386356967112
LOAD_WEEKDAY,train,1,13,0.044504369677316025
LOAD_WEEKDAY,train,1,14,0.09545681487847803
LOAD_WEEKDAY,train,1,15,0.11107539523003276
LOAD_WEEKDAY,train,1,16,0.12829672617830537
LOAD_WEEKDAY,train,1,17,0.12081999850214854
LOAD_WEEKDAY,train,1,18,0.11205071754231072
LOAD_WEEKDAY,train,1,19,0.10095003051146748
LOAD_WEEKDAY,train,1,20,0.09542840735171347
LOAD_WEEKDAY,train,1,21,0.08401517595906946
LOAD_WEEKDAY,train,1,22,0.0729409512582484
LOAD_WEEKDAY,train,1,23,0.06702043297556885
LOAD_WEEKDAY,train,1,24,0.060026668614059864
LOAD_WEEKDAY,train,1,25,0.06071176432759036
LOAD_WEEKDAY,train,1,26,0.05040960260732102
LOAD_WEEKDAY,train,1,27,0.0454258920742148
LOAD_WEEKDAY,train,1,28,0.051519323205051606
LOAD_WEEKDAY,train,1,29,0.05257823780976311
LOAD_WEEKDAY,train,1,30,0.043425560485561523
LOAD_WEEKDAY,train,1,31,0.05029555276041815
LOAD_WEEKDAY,train,1,32,0.04453352225270458
LOAD_WEEKDAY,train,1,33,0.04232151906360693
LOAD_WEEKDAY,train,1,34,0.038298161646974097
LOAD_WEEKDAY,train,1,35,0.03971773927311018
LOAD_WEEKDAY,train,1,36,0.044079484379694035
LOAD_WEEKDAY,train,1,37,0.05656660914075934
LOAD_WEEKDAY,train,1,38,0.066271733155721
LOAD_WEEKDAY,train,1,39,0.0811627387902887
LOAD_WEEKDAY,train,1,40,0.0901901718184129
LOAD_WEEKDAY,train,1,41,0.09078023535276498
LOAD_WEEKDAY,train,1,42,0.09371910148989618
LOAD_WEEKDAY,train,1,43,0.1098272840343735
LOAD_WEEKDAY,train,1,44,0.10866103292429688
LOAD_WEEKDAY,train,1,45,0.09554515701188807
LOAD_WEEKDAY,train,1,46,0.07473488149828163
LOAD_WEEKDAY,train,1,47,0.06436639381064149
LOAD_WEEKDAY,train,2,0,0.07220915489619865
LOAD_WEEKDAY,train,2,1,0.05955960478086386
LOAD_WEEKDAY,train,2,2,0.05317965565456436
LOAD_WEEKDAY,train,2,3,0.04642126425885547
LOAD_WEEKDAY,train,2,4,0.04041728876354784
LOAD_WEEKDAY,train,2,5,0.041690365595475044
LOAD_WEEKDAY,train,2,6,0.03807776013524184
LOAD_WEEKDAY,train,2,7,0.03489247598508543
LOAD_WEEKDAY,train,2,8,0.03678814342591709
LOAD_WEEKDAY,train,2,9,0.0315163660852529
LOAD_WEEKDAY,train,2,10,0.03372481001358734
LOAD_WEEKDAY,train,2,11,0.040114633693557014
LOAD_WEEKDAY,train,2,12,0.035504945176477974
LOAD_WEEKDAY,train,2,13,0.05792684733150057
LOAD_WEEKDAY,train,2,14,0.15167610673997528
LOAD_WEEKDAY,train,2,15,0.17786144816254304
LOAD_WEEKDAY,train,2,16,0.1985414790501469
LOAD_WEEKDAY,train,2,17,0.20430649034663625
LOAD_WEEKDAY,train,2,18,0.17020866906815807
LOAD_WEEKDAY,train,2,19,0.14493672386008147
LOAD_WEEKDAY,train,2,20,0.14333408379941223
LOAD_WEEKDAY,train,2,21,0.14231231435839095
LOAD_WEEKDAY,train,2,22,0.1489186376275792
LOAD_WEEKDAY,train,2,23,0.143520219136095
LOAD_WEEKDAY,train,2,24,0.13511376473283404
LOAD_WEEKDAY,train,2,25,0.11052267000031593
