group,split,cluster_pv,n_days,n_total,probability
PV_ALL,train,0,266,603,0.44112769485903813
PV_ALL,train,1,15,603,0.024875621890547265
PV_ALL,train,2,69,603,0.11442786069651742
PV_ALL,train,3,253,603,0.41956882255389716
